,STATE,STATUS,STATE SUMMARY,Source of Action,Name of Source,Type of Action,Order/declaration affects residential eviction/civil proceedings ,Hyperlink to Source (Not Included in State Summary Row),Date of Issue,Effective Date,Expiration Date ,Date Moratorium Began to Lift,Expired/Replaced,Prohibits law enforcement from executing new and past orders of eviction,"Status of non-emergency civil court proceedings 
",Remote hearings allowed in non-emergency civil cases ,"Applies to civil cases, which should include eviction cases ",Applies to eviction cases directly,Applies to commercial eviction directly,Applies to foreclosure or foreclosure eviction cases directly,"Exempts criminal activity, damage to property, emergency, nuisance or cases to protect public health from eviction freeze ",Only applies to certain eviction cases ,"If limited to certain eviction cases, the freeze only applies to these cases  
","Tolls, extends or stays court deadlines",Date to which deadlines are tolled,"Suspends all five stages of eviction (notice, filing, hearing, ruling, execution) ",1. Suspends Notice of Eviction to Tenant ,2. Suspends Filing of Eviction Claim,3. Suspends Hearings on Eviction ,"4. Stays Order, Judgment or Writ of Eviction ",5. Suspends enforcement of new order of eviction,Prohibits issuance of late fees to landlord ,Requires certification that property is not covered under CARES Act Moratorium,Order/Declaration discusses effect of housing on public health,Order/Declaration discusses economic consequences on housing,Model order,Brief Summary of What Order Does,Moratorium Extended Past Emergency Declaration,Free Utility Reconnection,No Utility Disconnection,No Reporting to Credit Bureau,Grace Period to Pay Rent,Length of Time for Grace Period,No Late Fees,"Length of Time for No Late Fees 
mm/dd/yyyy",Legal Counsel for Tenants,No Rent Raises,"Length of Time for No Rent Raises
mm/dd/yyyy",Foreclosure Moratorium,"Length of Time for Foreclosure Moratorium
mm/dd/yyyy",Housing Stabilization,Length of time for Housing Stabilization mm/dd/yyyy
,"HAWAII (HI) PEAK COVERAGE
SUMMARY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HAWAII (HI),,,Governor,David Ige,Eviction Moratorium,Y,HI_Governor_9thSuppProclamation_061020,6/10/20,6/10/20,7/31/20,,N,N,N/A,N/A,N/A,Y,N,N,N,Y,Non-payment,N,N,N,Y,Y,In Effect Y,N,N,N,N,N,N,N,Extends previous suspension until 07/31.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,HAWAII (HI),,,Governor,David Ige,Eviction Moratorium,Y,HI_Governor_8thSuppProclomation_051820,5/18/20,5/18/20,6/30/20,,Y,N,N/A,N/A,N/A,Y,N,N,N,Y,Non-payment,N,N,N,Y,Y,In Effect Y,N,N,N,N,N,N,N,Extends previous suspension until 06/30.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,HAWAII (HI),,,Governor,David Ige,Eviction Moratorium,Y,HI_Governor_7thSuppProclamation_050520,5/5/20,5/5/20,5/31/20,,Y,N,N/A,N/A,N/A,Y,N,N,N,Y,Non-payment,N,N,N,Y,Y,In Effect Y,N,N,N,N,N,N,N,Extends previous suspension until 5/31.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,HAWAII (HI),,,Governor,David Ige,Eviction Moratorium,Y,HI_Governor_EO_041720,4/17/20,4/17/20,4/30/20,,Y,N,N/A,N/A,N/A,Y,N,N,N,Y,Non-payment,N,,N,Y,Y,In Effect Y,N,N,N,N,N,N,N,"Suspends provisions of law that provide for eviction of tenants (including notice), including suspending LL-T law "" to the extent necessary to prohibit the commencement, continuation, or prosecution of an action, to terminate any tenancy for a residential dwelling unit"" for nonpayment of rent.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,HAWAII (HI),,,Governor,Dept. of Hawaiian Home Lands,Tenancy Preservation,N,HI_DHHL_COVID19Program,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Creates program for rent relief, for up to 6 months (April 1, 2020 – September 30, 2020), which comes with specific conditions.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,
,HAWAII (HI),,,Sheriff,Public Safety Sheriff Division,Eviction Moratorium,Y,HI_PublicSafetySheriff_Statement_031720,3/17/20,3/17/20,open,,N,Y,N/A,N/A,N/A,Y,N,N,N,N,N/A,N/A,N/A,N,N,N,N,N,Y,N,N,N,N,N,States that sheriff's department is suspending evictions. Order addresses self-represented litigants.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,HAWAII (HI),,,Court,Supreme Court,Eviction Moratorium,Y,HI_SupremeCourt_OrderNo.SCMF-20-0000152_052820,5/28/20,5/28/20,6/30/20,,Y,N,Local Discretion,Y,Y,N,N,N,N/A,N/A,N/A,N,N/A,N,N,N,N,N,N,N,N/A,N/A,N/A,,"Extends previous orders until 6/30, but allows chief judges of the circuits to allow for in-person proceedings by order. ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,HAWAII (HI),,,Court,Supreme Court,Eviction Moratorium,Y,HI_SupremeCourt_Order_042720,4/27/20,4/27/20,5/29/20,,Y,N,In-Person Suspended & Remote Allowed,Y,Y,N,N,N,N/A,N/A,N/A,N,N/A,N,N,N,N,N,N,N,N,N,N,N,Extends 03/16 order until 5/31.,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,HAWAII (HI),,,Court,Supreme Court,Eviction Moratorium,Y,HI_SupremeCourt_OrderNo.SCMF-20-0000152_041720,4/17/20,4/17/20,5/29/20,,N,Y,In-Person Suspended & Remote Allowed,Y,Y,N,N,N,N/A,N/A,N/A,N,N/A,N,N,N,N,N,N,N,N,N,N,N,Civil trials suspended until 5/29.,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,HAWAII (HI),,,Court,Supreme Court,Eviction Moratorium,Y,HI_SupremeCourt_OrderNo.SCMF-20-0000152_031620,3/16/20,3/17/20,4/30/20,,Y,N,In-Person Suspended & Remote Allowed,Y,Y,N,N,N,N/A,N/A,N/A,N,N/A,N,N,N,Y,N,N,N,,N,N,N,"Civil cases are postponed to a date after 4/30, including for self-represented litigants such as in landlord-tenant matters; but also states that in all proceedings, courts have discretion to hear them by video.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"IDAHO (ID) CURRENT
SUMMARY",Evictions Can Resume (Remote),"Idaho had a statewide order directing that eviction cases be continued except for emergencies. However, on April 22nd, the Supreme Court issued an order resuming all hearings remotely, effective May 1st. Some counties have moved to reduced operations in the court system and are hearing a limited number of cases that don't include eviction cases. 3 private companies have promised to suspend utility shutoffs. ",Court,,,Y,,,,5/1/20,,N,N,N/A,Y,Y,N,N,N,Y,N,N/A,N,N/A,N,N,N,N,N,N,N,Y,N,N,N,,,,,,,,,,,,,,,Y,
,"IDAHO (ID) PEAK COVERAGE
SUMMARY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,
,IDAHO (ID),,,Court,Idaho Supreme Court,,Y,ID_SupremeCourt_Order_072420,7/24/20,7/24/20,Open,,N,N,N/A,Y,Y,N,N,N,N/A,N/A,N/A,Y,The time during the courts emergency order will not be counted towards time used to calculate speedy trial,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,"No jury trial shall commence in civil cases until December 1st. With the recent decision that defendants are entitled to jury trials in eviction cases, this could act as a major protection for tenants.",N/A,N/A,N/A,N/A,N/A,,N/A,,N/A,N/A,,N/A,,N/A,
,IDAHO (ID),,,Court,Idaho Supreme Court,,Y,ID_SupremeCourt_EO_050520,5/5/20,5/5/20,7/25/20,,Y,N,N/A,N/A,Y,Y,N,N,N,N,N/A,N,N/A,N,N,N,N,N,N,N,Y,N,N,N,"Amends Statement of Landlord regarding CARES Act Eviction Moratorium form, which landlords must submit for all eviction proceedings",N/A,N/A,N/A,N/A,N/A,,N/A,,N/A,N/A,,N/A,,N/A,
,IDAHO (ID),,,Court,Idaho Supreme Court,,Y,ID_SupremeCourt_Order_050420,5/4/20,5/4/20,7/25/20,,N,N,N/A,N/A,N,Y,N,N,N,N,N/A,N,N/A,N,N,N,N,N,N,N,Y,N,N,N,Requires certification that property is not covered under CARES act for filed evictions until 7/25; attaches form.,N/A,N/A,N/A,N/A,N/A,,N/A,,N/A,N/A,,N/A,,N/A,
,IDAHO (ID),,,Court,Idaho Supreme Court,,Y,ID_SupremeCourt_LandlordCARESActForm,5/5/20,5/5/20,open,,N,N,N/A,N/A,N/A,Y,N/A,Y,N/A,N,N/A,N,N/A,N,N,N,N,N,N,N,Y,N,N,N,Form to use to indicate compliance with/applicability of CARES act,N/A,N/A,N/A,N/A,N/A,,N/A,,N/A,N/A,,N/A,,N/A,
,IDAHO (ID),,,Court,Idaho Supreme Court,,Y,ID_SupremeCourt_Order_042220,4/22/20,5/1/20,open,,Y,N,In-Person Suspended & Remote Allowed,Y,Y,N,N,N,N/A,N/A,N/A,N,N/A,N,N,N,N,N,N,N,,N,N,N,"The Supreme Court issued an order (in effect on May 1) which states that no jury trials shall commence in a civil case before October 5, 2020 and all other court proceedings are to be held remotely, subject to judicial discretion.",N/A,N/A,N/A,N/A,N/A,,N/A,,N/A,N/A,,N/A,,N/A,
,IDAHO (ID),,,Court,Idaho Supreme Court,,Y,ID_SupremeCourt_EO_042120,4/21/20,4/21/20,4/30/20,,Y,N,N/A,N/A,Y,N,N,N,N,N,N/A,Y,5/1/20,N,N,N,N,N,N,N,N,N,N,N,Order extends all court deadlines falling between 3/26/20 and 4/30/20 to a new deadline of 5/1/20,N/A,N/A,N/A,N/A,N/A,,N/A,,N/A,N/A,,N/A,,N/A,
,IDAHO (ID),,,Court,Idaho Supreme Court,,Y,ID_SupremeCourt_041420,4/14/20,4/14/20,4/22/20,,Y,N,All Suspended,N,Y,N,N,N,N/A,N/A,N/A,Y,4/22/20,N,N,N,N,N,N,N,,N,N,N,Extends previous order until 4/22,N/A,N/A,N/A,N/A,N/A,,N/A,,N/A,N/A,,N/A,,N/A,
,IDAHO (ID),,,Court,Idaho Supreme Court,,Y,ID_SupremeCourt_Order_032620,3/26/20,3/26/20,4/15/20,,Partial,N,All Suspended,N,Y,N,N,N,Y,N,N/A,Y,4/16/20,N,N,N,In Effect Y,N,N,N,,N,N,N,Reduced court operations; only emergency hearings will be conducted. New pleadings will continue to be accepted; filing deadlines will be extended (but deadlines to file a complaint or comply with a judgment will not) and hearings previously scheduled will be rescheduled until after April 16. ,N/A,N/A,N/A,N/A,N/A,,N/A,,N/A,N/A,,N/A,,N/A,
,IDAHO (ID),,,Court,Idaho Supreme Court,,Y,ID_SupremeCourt_032320,3/23/20,3/25/20,open,,Y,N,In-Person Suspended & Remote Allowed,Y,Y,Y,N,N,N,N,N/A,N,,N,N,N,Y,N,N,N,,N,N,N,"Extends old order, until further order",N/A,N/A,N/A,N/A,N/A,,N/A,,N/A,N/A,,N/A,,N/A,
,IDAHO (ID),,,Court,Idaho Supreme Court,,Y,ID_SupremeCourt_Order_031320,3/13/20,3/16/20,4/10/20,,Y,N,In-Person Suspended & Remote Allowed,Y,Y,Y,N,N,N,N,N/A,N,,N,N,N,Y,N,N,N,,N,N,N,"Suspends hearings on eviction, along with juvenile/small claims/probate, except for emergencies and hearings required to be held by statute. Directs other court operations given pandemic",N/A,N/A,N/A,N/A,N/A,,N/A,,N/A,N/A,,N/A,,N/A,
,IDAHO (ID),,,Governor,Idaho Finance and Housing Association,Tenancy Preservation,N,ID_Governor_ReliefFund_062020,6/20/20,6/20/20,,,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"$15.25 million of CARES Act funds have been allocated to a relief fund for households struggling to make rent. Household must not already be receiving federal relief, and must make 80% or less of the median household income for their county.",N/A,N/A,N/A,N/A,N/A,,N/A,,N/A,N/A,,N/A,,Y,n/a
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ILLINOIS (IL) CURRENT SUMMARY,Eviction Cases & Enforcement Suspended,"The Governor of Illinois issued an ""order ceasing evictions"" that stated: ""all state, county and local law enforcement officers in the State of Illinois are instructed to cease enforcement of orders of eviction for residential premises for the duration of the Gubernatorial Disaster Proclamation."" The order also stated that ""a person or entity may not commence a residential eviction action."" This order has been extended through 8/22. The State Supreme Court has directed lower courts to keep fulfilling essential functions, but to delay or schedule remote hearings for non-essential matters. Local courts may also suspend deadlines. The State Supreme Court has ruled that plaintiffs in all residential actions must file an affidavit certifying that the property at issue is not covered under the CARES Act. The state has funded a rental and mortgage assistance program for residents struggling to make payments as a result of COVID-19. Additional funding has also been provided to the state's low income energy assistance program (LIHEAP). A moratorium on utility disconnections is in place until 8/1. ",Court/Governor,,,Y,,,,08/22/20,,N,Y,Local Discretion,Y,Y,Y,N,N,N,N,N/A,Y,allows courts to suspend deadlines/procedures for a period ending no later than 30 days after end of emergency,N,Y,Y,Local Discretion,N,Y,N,Y,N,N,N,,,Y,Y,,,,,,,,,,,Y,
,ILLINOIS (IL) PEAK COVERAGE SUMMARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,
,ILLINOIS (IL),,,Court,Supreme Court,,Y,IL_SupremeCourt_Rule139_071720,7/17/20,7/17/20,Open,,N,N/A,N/A,N/A,Y,Y,N,N,N/A,N,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Allows for plaintiffs in eviction cases to attach an affadavit when serving a defendant, rather than attaching an eviction notice/demand or a copy of the lease.",N/A,N/A,N/A,N/A,N/A,,N/A,,N/A,N/A,,N/A,,N/A,
,ILLINOIS (IL),,,Court,Supreme Court,Eviction Moratorium,Y,IL_SupremeCourt_OrderNo.M.R. 30370 _052220,5/22/20,3/27/20,08/24/20,,N,N,N/A,N/A,N/A,Y,N,N,N,N,N/A,N,N/A,N,N,N,N,N,N,N,Y,N,N,N,"Any eviction action for a residential premises brought after 03/27 must include or be amended to include in the complaint or an attached affidavit an affirmative statement that the premises is not covered by the CARES Act [¶ B/C]. Alternatively, a plaintiff may provide testimony under oath in open court that the property is not covered by the CARES Act [¶ D]. If an eviction action involves a property covered by the CARES Act, it should be dismissed and the record sealed. [¶ E].",,,,,,,,,,,,,,,
,ILLINOIS (IL),,,Court,Supreme Court,Eviction Moratorium,Local Discretion,IL_SupremeCourt_OrderNo.M.R.30370 _052020,5/20/20,6/1/20,N/A,,N,N,Local Discretion,Y,Y,N,N,N,N/A,N/A,N/A,Local Discretion,N/A,N,N,N,Local Discretion,N,N,N/A,N/A,Y,N,N,"IL Supreme Court delineates a number of factors the chief judge in each circuit can consider in scheduling hearings—whether remotely or in-person: ""deadlines which apply to a case or class of cases; the length of time any applicable deadline has been suspended by order of the Supreme Court or the Circuit Court; applicable information from public health authorities; limitations in court facilities or staffing; and anticipated prejudice to any class of cases as a result of continued delay.""",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
,ILLINOIS (IL),,,Court,Supreme Court,Eviction Moratorium,Local Discretion,IL_SupremeCourt_OrderNo.M.R. 30370 _032020,3/20/20,3/20/20,"""For the next 60 days and until further order of this Court.""",,,N,Local Discretion,N/A,Y,N,N,N,N/A,N/A,N/A,Local Discretion,"""For the next 60 days and until further order of this Court.""",N,N,N,Local Discretion,N,N,N/A,N/A,N/A,N/A,N/A,"Order allows the Chief Judges of circuit courts to ""continue trials for the next 60 days and until further order of this Court.""",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
,ILLINOIS (IL),,,Court,Supreme Court,Eviction Moratorium,Local Discretion,IL_SupremeCourt_OrderNo.M.R. 30370 _031720,3/17/20,3/17/20,open,,N,N,Local Discretion,Y,Y,N,N,N,N/A,N/A,N/A,Y,allows courts to suspend deadlines/procedures for a period ending no later than 30 days after end of emergency,N,N,N,Local Discretion,N,N,N,N,N,N,N,"Court plan: essential matters shall be heard, nonessential matters may be continued or conducted by phone. Courts can modify/suspend deadlines, and consider sworn testimony made remotely.",,,,,,,,,,,,,,,
,ILLINOIS (IL),,,Governor,"JB Pritzker, Governor",Eviction Moratorium,Y,IL_Governor_EONo.2020-48_072420,7/24/20,7/24/20,8/22/20,,N,Y,N/A,N/A,N/A,Y,Y,N/A,Y,N,N/A,N/A,N/A,N,In Effect Y,Y,Y,N,Y,N/A,N,N,N,N,"Extends Executive Order 2020-30 through August 22, 2020 in its entirety.",N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,ILLINOIS (IL),,,Governor,"JB Pritzker, Governor",Eviction Moratorium,Y,IL_Governor_EONo.44_062620,6/26/20,6/26/20,07/26/20,,Y,Y,N/A,N/A,N/A,Y,Y,N/A,Y,N,N/A,N/A,N/A,N,In Effect Y,Y,Y,N,Y,N/A,N,Y,Y,Y,"Order extends EO 2020-30, amended by EO 2020-33, through July 26, 2020 in its entirety.",N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,ILLINOIS (IL),,,Governor,"JB Pritzker, Governor",Tenancy Preservation,Y,IL_Governor_PressRelease_061720,6/17/20,,N/A,,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,N,"These statewide emergency rental and mortgage assistance programs will each be administered by the IHDA and funded at $150 million. The rental program will provide grants of $5,000 to renters unable to pay rent because of COVID-19. It is expected to start in August and serve approximately 30,000 renters. Eligible renters must already carry an unpaid rent balance from March through to the present day and certify that the reason they were unable to pay rent was due to a COVID-19-related loss of income on or after March 1, 2020. The rental assistance will be paid directly to a property owner or landlord, who must agree not to to evict the tenant for the duration of the ERA. The mortgage program will provide grants of up to $15,000 to homeowners. It is also expected to launch in August and serve approximately 10,000 homeowners. To be eligible, homeowners' income prior to the pandemic cannot exceed 120% of the area median income. Therefore, only homeowners with mortgage arrearages, or in forbearance, on or after March 2020 through to the present day are eligible to apply. Eligible homeowners must be able to certify that the reason they couldn't pay their mortgage in full was due to a COVID-19-related loss of income on or after March 1, 2020. The assistance will be paid directly to the mortgagor's loan servicer. This space will be updated with official documents from the IHDA once they're posted online.",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A
,ILLINOIS (IL),,,Governor,"JB Pritzker, Governor",Tenancy Preservation,,IL_Governor_PressRelease_061520,6/15/20,,N/A,,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,Y,"$275 million in funding has been provided for the Low-Income Home Energy Assistance Program (LIHEAP) and Community Services Block Grant (CSBG) programs. Eligible IL residents can apply to receive rental assistance, water/sewer bill assistance, and energy utility bill assistance here.",N/A,N,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A
,ILLINOIS (IL),,,Governor,"JB Pritzker, Governor",Eviction Moratorium,Y,IL_Governor_ExecutiveOrderNo.39_052920,5/29/20,5/29/20,06/27/20,,N,Y,N/A,N/A,N/A,Y,N,N,Y,N,N/A,N,N/A,N,N,Y,N,N,Y,N,N,Y,Y,N,"Extends Executive Order 23 to June 27, 2020.",,,,,,,,,,,,,,,
,ILLINOIS (IL),,,Governor,"JB Pritzker, Governor",Eviction Moratorium,Y,IL_Governor_EONo.33_05012020,04/30/2020,04/30/2020,05/29/2020,,Y,Y,N/A,N/A,N/A,Y,Y,N/A,Y,N,N/A,N/A,N/A,N,In Effect Y,Y,N,N,Y,N,N,Y,Y,Y,"This EO extends EO 2020-30 through May 29, 2020 and amends it to include residential tenants in its provision barring enforcement of orders of eviction.",N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
,ILLINOIS (IL),,,Governor,"JB Pritzker, Governor",Eviction Moratorium,Y,IL_Governor_ExecutiveOrderNo.30_042320,4/23/20,4/23/20,for duration of public health emergency,,N,Y,N/A,N/A,N/A,Y,N,N,Y,N,N/A,N,N/A,N,N,Y,N,N,Y,N,N,Y,Y,N,Orders local law enforcement to cease evictions; also prohibits any entity from commencing an eviction action except where there is an immediate threat.,,,,,,,,,,,,,,,
,ILLINOIS (IL),,,Governor,"JB Pritzker, Governor",Eviction Moratorium,Y,IL_Governor_EONo.18_040120,4/1/20,4/1/20,04/30/20,,Y,Y,N/A,N/A,N/A,Y,N,N/A,N,N,N/A,N/A,N/A,N,N,N,N,N,Y,N,N,Y,Y,N,"This EO extends EO 2020-10 through April 30, 2020.",N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
